Property_Code;Market;Unit_Status;Street_Address;City;State;Zip_Code;Bedrooms;Bathrooms;Rent;Square;Garage;Listing_Phone;URL;Latitude;Longitude;Long_Description;Is_Cat_Allowed;Is_Dog_Allowed;FloorplanID;Security_Deposit;RentCafeID;PropertyPrimaryID;Photos;BusinessCenter;ChildCare;ClubHouse;CoverPark;FitnessCenter;Garage;Gate;HighSpeed;Laundry;Pool;PlayGround;ShortTermLease;Spa;StorageSpace;Transportation;Availability24Hours;BasketballCourt;ClubDiscount;Concierge;DoorAttendant;Elevator;FreeWeights;HouseSitting;GroupExcercise;GuestRoom;Housekeeping;Library;MealService;NightPatrol;OnSiteMaintenance;OnSiteManagement;PacakageReceiving;Racquetball;RecRoom;Sauna;Sundeck;TennisCourt;TVLounge;Vintage;VolleyballCourt;AdditionalStorage;AirConditioner;Balcony;CableSat;DishWasher;Disposal;Fireplace;Furnished;IndividualClimateControl;LargeClosets;Patio;Washer;WheelChair;WD_Hookup;Alarm;Carport;CeilingFan;ControlledAccess;Courtyard;Dryer;Handrails;Microwave;PrivateBalcony;PrivatePatio;Refrigerator;Skylight;View;WindowCoverings;General_Amenities
CALA0509;Los Angeles County, CA;Vacant;3673 Luther Ln;Inglewood;CA;90305;3;3.0;2700.0;2015.0;False;(800) 339-7368;http://www.invitationhomesforrent.com/apartments/ca/inglewood/3673-luther-ln/index.aspx;33.954135;-118.334173;This two story 3-bedroom, 3-bath 2,015 sf home has a great location and an ideal floor plan. The entryway is tiled and leads you into a beautiful kitchen. The kitchen has light countertops, built in stainless steel microwave, and an island creates lots of counter space. The living room is carpeted and has a cozy fireplace. The master bath has two sinks. The bedrooms are large, carpeted, and have luxurious walk in closets.;true;true;854507;2700;p0113024;106900;http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_01_Image_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_02_Image2_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_03_Image3_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_04_Image4_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_05_Image5_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_06_Image6_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_07_Image7_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_08_Image8_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_09_Image9_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_10_Image10_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_11_Image11_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_12_Image12_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_13_Image13_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/106900/CA_Inglewood_3673LutherLn_p0113024_14_Image14_1_PhotoGallery.jpg|;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;Carpeting|Efficient Appliances|
CALA0973;Los Angeles County, CA;Vacant;212 E 185th;Carson;CA;90746;3;1.0;2100.0;986.0;False;(800) 339-7368;http://www.invitationhomesforrent.com/apartments/ca/carson/212-e-185th/index.aspx;33.862155;-118.272556;	Enchanting 3 bedroom, 1 bath home is graced with a great front yard and 1 car garage! The backyard has a patio and a large fruit tree. The entry and living room have gorgeous hardwood floors. The kitchen has access to the backyard and is complete with granite counters, dark wood cabinets, and a breakfast bar. The bedrooms are carpeted and have lots of closet space. This home has it all!;true;true;863140;2100;p0113244;107120;http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_01_Image_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_02_Image2_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_03_Image3_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_04_Image4_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_05_Image5_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_06_Image6_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_07_Image7_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_08_Image8_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_09_Image9_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_10_Image10_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_11_Image11_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_12_Image12_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_13_Image13_1_PhotoGallery.jpg|http://www.rentcafe.com/dmslivecafe/3/107120/CA_Carson_212E185th_p0113244_14_Image14_1_PhotoGallery.jpg|;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Granite Countertops|Landscaped|Hardwood Floors|Carpeting|
CALA0988;Los Angeles County, CA;Vacant;18950 Hartland St;Los Angeles;CA;91335;3;2.0;2100.0;1264.0;False;(800) 339-7368;http://www.invitationhomesforrent.com/apartments/ca/los-angeles/18950-hartland-st/index.aspx;34.194517;-118.546644;;true;true;863155;2100;p0113259;107135;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|
AZPH0919;Phoenix, AZ;Vacant;5136 N 78Th Ave;Glendale;AZ;85303;3;2.0;875.0;1273.0;True;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/glendale/5136-n-78th-ave/index.aspx;33.511452;-112.227521;Don't let this gem pass you by! This home begins with directional tile flowing from a spacious living room and continuing inward to a quant dining area & family room. From here, you'll have a great view of the modern appliances, to include a gas range and light accenting decor that all complement your new kitchen. You won't want to miss the nearby Arizona room or the warm interior spaces that each of the bedrooms provide!   Call or fill out an application today! For more information on this property please continue to Ihrent.com or call (855) 390-7368. To find out about our qualification requirements click here. City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days. Invitation Homes - Phoenix;true;true;855725;875;p0116055;109847;http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276645.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276646.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276647.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276648.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276649.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276650.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276651.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276652.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276653.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276654.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276655.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276656.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276657.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276658.jpg|http://www.rentcafe.com/dmslivecafe/3/109847/3_109847_1276659.jpg|;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Efficient Appliances|Gas Range|
s1ap0999;Phoenix, AZ;Vacant;519 S. Mountain Rd.;Mesa;AZ;85208;3;2.0;1100.0;1500.0;False;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/mesa/519-s-mountain-rd/index.aspx;33.405324;-111.589058;Coming Soon!  This home is currently being enjoyed by another resident. Please respect their privacy and do not disturb. This home features 3 Bedrooms, 2 Baths, and 1,500 sqft of living space. Apply Now and move in as soon as May 15th, 2014. If you're ready to move now, many of our other homes are available for immediate move-in! Contact our Tempe, AZ office at 855-390-7368 and we will match you with one of our Professional Leasing Agents in the area that you are interested in. We will find you the right home and get you moved in at the right time. Call today!  For more information on this property please continue to Ihrent.com or call (855) 390-7368. To find out about our qualification requirements click here. City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days. Invitation Homes - Phoenix ;true;true;855804;1100;p0116134;109926;http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297757.jpg|http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297759.jpg|http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297760.jpg|http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297761.jpg|http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297763.jpg|http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297764.jpg|http://www.rentcafe.com/dmslivecafe/3/109926/3_109926_1297765.jpg|;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Carpeting|Hardwood Floors|
AZPH1069;Phoenix, AZ;Vacant;9421 W Jamestown Rd;Phoenix;AZ;85037;3;2.5;1100.0;1600.0;True;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/phoenix/9421-w-jamestown-rd/index.aspx;33.475601;-112.261762;"This lovely bi-level home offers a large great room that leads to an open concept kitchen & the dining area. The kitchen; here you'll discover a variety of modern appliances, a wide center island, as well as the side pantry & tiled interior that makes clean up a synch! Continuing upward reveals three comfortable bedrooms with accenting carpet & paint, plus mirrored closets (Select rooms) & a walk-in off the master bath. You will love the convenience of having twin sink vanities in both of the upstairs bathrooms and a  bath on the main level. Don't wait call today! For more information on this property please continue to Ihrent.com or call (855) 390-7368. To find out about our qualification requirements click here. City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days. Invitation Homes - Phoenix";true;true;855873;1100;p0116203;109995;http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295032.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295033.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295034.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295035.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295036.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295037.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295038.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295039.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295040.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295041.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295042.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295043.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295044.jpg|http://www.rentcafe.com/dmslivecafe/3/109995/3_109995_1295045.jpg|;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;True;False;False;True;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Carpeting|Efficient Appliances|
AZPH0550;Phoenix, AZ;Vacant;11141 W. Turney Ave.;Phoenix;AZ;85037;3;2.0;900.0;1089.0;True;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/phoenix/11141-w-turney-ave/index.aspx;33.498155;-112.299414;Light, airy, and what you've been looking for all along! This wonderful single level rental home offers a spacious living room with a nice expansive ceiling & ceiling fan. Tile continues from here into a lovely pantry kitchen, where you'll also find light highlights throughout the cabinets and a great view of the backyard. Soft carpet can be found in each of the bedrooms, to include the master which also comes with His-n-Hers closets plus a full bath! Come take a look, fill out an application, or give us a call today!  Appliances to be installed. For more information on this property please continue to Ihrent.com or call (855) 390-7368. To find out about our qualification requirements click here. City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days. Invitation Homes - Phoenix  ;true;true;855358;900;p0115678;109470;http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268718.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268719.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268720.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268721.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268722.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268723.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268724.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268725.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268726.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268727.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268728.jpg|http://www.rentcafe.com/dmslivecafe/3/109470/3_109470_1268729.jpg|;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Carpeting|High Ceilings|
AZPH0535;Phoenix, AZ;Vacant;10019 W. Montecito Ave.;Phoenix;AZ;85037;3;2.0;950.0;1288.0;True;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/phoenix/10019-w-montecito-ave/index.aspx;33.499111;-112.276477;The interior of this lovely gem starts out with a vast living room with a high ceiling and plenty of living space for relaxation and entertainment. Rich hardwood flows from here and continues inward to the kitchen and dining area. There you'll discover a great array of modern appliances, accenting cabinets, plus a roomy side pantry with a ceiling fan nearby. The master bedroom is complete with an additional ceiling fan & vaulted ceiling, as well as a full bath & a large walk-in closet! Come take a look, you won't be disappointed!This house comes with a covered patio & play set out back. For more information on this property please continue to Ihrent.com or call (855) 390-7368. To find out about our qualification requirements click here. City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days. Invitation Homes - Phoenix;true;true;855343;950;p0115663;109455;http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306344.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306345.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306346.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306347.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306348.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306349.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306350.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306351.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306352.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306353.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306354.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306355.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306356.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306357.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306358.jpg|http://www.rentcafe.com/dmslivecafe/3/109455/3_109455_1306359.jpg|;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Efficient Appliances|Hardwood Floors|High Ceilings|
s1ap0513;Phoenix, AZ;Vacant;15944 W Morning Glory St;Goodyear;AZ;85338;3;2.5;1075.0;1735.0;True;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/goodyear/15944-w-morning-glory-st/index.aspx;33.444405;-112.401976;Coming Soon!  This home is currently being enjoyed by another resident. Please respect their privacy and do not disturb. This home features 3 Bedrooms, 2.5 Baths, and 1735 sqft of living space. Apply Now and move in as soon as May 15th, 2014. If you're ready to move now, many of our other homes are available for immediate move-in! Contact our Tempe, AZ office at 855-390-7368 and we will match you with one of our Professional Leasing Agents in the area that you are interested in. We will find you the right home and get you moved in at the right time. Call today!  For more information on this property please continue to Ihrent.com or call (855) 390-7368. To find out about our qualification requirements click here. City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days. Invitation Homes - Phoenix;true;true;855322;1075;p0115642;109434;http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1280023.jpg|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279141.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279142.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279143.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279144.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279145.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279146.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279147.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279148.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279150.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279151.JPG|http://www.rentcafe.com/dmslivecafe/3/109434/3_109434_1279153.JPG|;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;True;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Carpeting|High Ceilings|
s1ap0510;Phoenix, AZ;Vacant;12030 W Corrine Dr;El Mirage;AZ;85335;4;2.5;850.0;1385.0;True;(855) 390-7368;http://www.invitationhomesforrent.com/apartments/az/el-mirage/12030-w-corrine-dr/index.aspx;33.600932;-112.319474;The first level of this house offers a spacious great room with twin ceiling fans, rich hardwood, and a side kitchen that is loaded with amenities! Soft carpet can be found in each of the bedrooms, to include multiple walk-in closets that are located in select rooms. This house comes with a nice sized backyard with a covered patio. Don't wait, this 4 bedroom, 2.5 bath gem won't last long!  For more information on this property please continue to Ihrent.com or call (855) 390-7368.To find out about our qualification requirements click here.  City tax and a 2.5% administrative fee are added to the monthly rent amount.   Security deposit holds the home up to 21 days.  Invitation Homes - Phoenix;true;true;855319;850;p0115639;109431;http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170370.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170371.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170372.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170373.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170374.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170378.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170380.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170381.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170379.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170377.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170376.jpg|http://www.rentcafe.com/dmslivecafe/3/109431/3_109431_1170375.jpg|;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;False;True;24 Hour Maintenance|Long Lease Terms Available|Pet Friendly|Professionally Managed|Recently Remodeled|Carpeting|Efficient Appliances|Hardwood Floors|
